"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차,화학차,화학차,화학차,화학차,배연차,구조공작차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,홍보차,점검차,순찰차,화재조사차,굴삭기,견인차,미분무가스소방차,기타(이동체험이동정비),유조차,행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,기타,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,68m,55m,53m,52m,46m,40m,33m,32m,소계,69m,46m,41m,35m,33m,27m,18.5m,22m,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"시민안전테마파크","2023",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-
"시민안전테마파크","2024",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
"중부소방서","2020",54,1,-,-,-,1,-,-,-,-,2,-,-,-,-,-,2,-,-,1,-,-,1,-,2,-,-,1,1,13,-,10,3,6,9,9,-,1,-,1,1,6,-,-,-,-,-,-,2,1,1,-,-,-,-,4,-,1,-,-,-
"중부소방서","2021",60,1,-,-,-,1,-,-,-,-,3,-,-,-,-,-,2,1,-,1,-,-,1,-,3,-,-,1,1,13,-,10,3,6,13,13,-,1,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,6,-,3,-,1,-,-,1
"중부소방서","2022",56,1,-,-,-,1,-,-,-,-,3,-,-,-,-,-,2,1,-,1,-,-,1,-,4,-,-,1,1,13,-,10,3,6,9,9,-,1,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,6,-,3,-,1,-,-,-
"중부소방서","2023",61,1,-,-,1,-,-,-,-,-,2,-,-,-,-,-,2,-,-,1,-,-,1,-,4,-,-,1,1,13,-,10,3,6,10,10,-,2,3,-,-,-,1,-,-,-,-,-,1,2,1,1,1,6,-,3,-,1,-,-,-
"중부소방서","2024",58,1,-,-,1,-,-,-,-,-,3,-,-,-,-,-,2,1,-,1,-,-,1,-,4,-,-,1,1,13,-,10,3,5,10,10,-,2,-,-,-,-,1,-,-,-,-,-,1,2,1,1,1,6,-,3,-,1,-,-,-
"동부소방서","2020",50,2,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,1,1,-,2,-,-,1,1,7,-,7,-,6,8,8,-,2,-,1,1,5,-,-,-,-,-,-,2,1,1,-,-,-,-,5,-,2,-,-,-
"동부소방서","2021",57,2,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,1,1,-,4,-,-,1,1,8,-,8,-,6,10,10,-,2,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,5,-,3,-,2,-,-,4
"동부소방서","2022",52,2,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,1,1,-,4,-,-,1,1,8,-,8,-,6,9,9,-,2,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,5,-,3,-,2,-,-,-
"동부소방서","2023",60,2,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,2,-,1,1,-,4,-,-,1,1,7,-,7,-,6,10,10,-,3,5,-,-,-,-,-,-,-,-,-,1,2,1,1,1,6,-,3,-,3,-,-,-
"동부소방서","2024",55,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,-,2,-,1,1,-,4,1,-,1,1,8,-,8,-,6,9,9,-,3,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,5,-,2,-,3,-,-,-
"서부소방서","2020",58,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,2,-,1,1,-,2,-,-,1,2,11,-,11,-,7,12,12,-,1,-,1,1,5,-,-,-,-,1,-,2,2,1,-,-,-,-,4,-,1,-,-,-
"서부소방서","2021",61,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,2,-,1,1,-,3,1,-,1,3,10,-,10,-,7,12,12,-,1,-,-,-,-,-,-,-,-,1,-,2,2,1,1,1,5,-,3,-,1,-,-,2
"서부소방서","2022",67,2,-,-,-,2,-,-,-,-,4,-,-,-,2,-,1,1,-,3,-,2,1,-,3,1,-,1,3,11,-,11,-,8,12,12,-,2,-,-,-,-,-,-,-,-,1,-,2,2,1,1,1,5,-,3,-,1,-,-,-
"서부소방서","2023",47,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,2,-,1,1,-,2,1,-,1,1,6,-,6,-,3,6,6,-,2,4,-,-,-,1,-,-,-,1,-,1,2,1,1,1,4,-,3,-,2,-,-,-
"서부소방서","2024",45,1,-,-,1,-,-,-,-,-,2,-,-,-,-,1,-,1,-,3,-,1,2,-,2,-,-,1,1,6,-,6,-,3,6,6,-,2,-,-,-,-,1,-,-,-,-,-,1,2,1,1,1,4,-,5,-,2,-,-,-
"북부소방서","2020",47,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,1,-,-,1,1,9,-,8,1,6,8,8,-,1,-,1,1,5,-,-,-,-,-,-,2,1,1,-,-,-,-,4,1,1,-,-,-
"북부소방서","2021",51,1,-,-,-,1,-,-,-,-,2,-,-,-,1,-,-,1,-,1,-,-,1,-,2,-,-,1,1,9,-,8,1,6,10,10,-,1,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,5,-,3,1,1,-,-,1
"북부소방서","2022",48,1,-,-,-,1,-,-,-,-,2,-,-,-,1,-,-,1,-,1,-,-,1,-,2,-,-,1,1,9,-,8,1,6,9,9,-,1,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,5,-,3,-,1,-,-,-
"북부소방서","2023",48,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,1,-,2,-,-,1,1,8,-,7,1,5,9,9,-,3,3,-,-,-,-,-,-,-,-,-,1,1,1,1,1,4,-,3,-,1,-,-,-
"북부소방서","2024",46,1,-,-,1,-,-,-,-,-,2,-,-,-,-,1,-,1,-,1,-,-,1,-,2,-,-,1,1,9,-,8,1,5,9,9,-,2,-,-,-,-,-,-,-,-,1,-,1,1,1,1,1,4,-,2,-,1,-,-,-
"수성소방서","2020",51,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,1,-,-,1,1,10,-,9,1,7,9,9,-,1,-,1,1,5,-,-,-,-,1,-,2,1,1,-,-,-,-,4,-,2,-,-,-
