"동별(1)","동별(2)",시점,발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),사망 (명),사망 (명),사망 (명),사망 (명),부상 (명),부상 (명),부상 (명),부상 (명),이재민수 (명),인명구조 (명)
"동별(1)","동별(2)",시점,소계,실화,방화,기타,동수 (동),이재세대수 (가구),면적 (m²),소계,부동산,동산,소계,소계,남,여,미상,소계,남,여,미상,소계,남,여,미상,소계,소계
"합계","성북구",2023,246,227,5,14,13,1,440,405784,149697,256087,31440498,8,7,1,-,-,-,-,-,8,7,1,-,2,10
"합계","성북구",2024,286,270,2,14,27,2,864,692400,281360,411040,10337895,12,7,5,-,1,-,1,-,11,7,4,-,4,14
"합계","강북구",2020,186,165,5,16,33,1,398,208380,99841,108539,4727912,-,-,-,-,1,-,-,-,5,-,-,-,2,28
"합계","강북구",2021,146,130,3,13,41,-,488,410205,211977,198228,2545392,-,-,-,-,5,-,-,-,14,-,-,-,-,21
"합계","강북구",2022,155,130,7,18,36,8,585,333463,178589,154874,5704307,14,8,6,-,1,1,-,-,13,7,6,-,11,16
"합계","강북구",2023,200,184,5,11,24,5,704,502071,160192,341879,9244941,10,5,5,-,2,2,-,-,8,3,5,-,14,1
"합계","강북구",2024,199,186,3,10,13,3,814,375537,181649,193888,9007905,6,5,1,-,2,2,-,-,4,3,1,-,12,3
"합계","도봉구",2020,163,136,5,22,6,-,829,491309,184209,307100,5981648,-,-,-,-,-,-,-,-,7,-,-,-,-,8
"합계","도봉구",2021,140,125,3,12,3,2,324,219916,146778,73138,24225187,-,-,-,-,-,-,-,-,6,-,-,-,7,7
"합계","도봉구",2022,159,138,4,17,14,2,803,279020,156102,122918,14467665,13,7,6,-,2,2,-,-,11,5,6,-,6,7
"합계","도봉구",2023,179,161,10,8,28,13,519,248534,150721,97813,13128828,42,19,23,-,3,3,-,-,39,16,23,-,30,2
"합계","도봉구",2024,167,153,4,10,13,5,227,215051,99713,115338,12783102,15,7,8,-,-,-,-,-,15,7,8,-,9,7
"합계","노원구",2020,172,152,4,16,12,6,4449,383922,133610,250312,24636027,-,-,-,-,-,-,-,-,11,-,-,-,17,4
"합계","노원구",2021,173,154,4,15,17,7,1108,432605,231336,201269,44327213,-,-,-,-,1,-,-,-,12,-,-,-,21,3
"합계","노원구",2022,169,147,7,15,21,1,7006,376315,199302,177013,26480545,7,4,3,-,3,2,1,-,4,2,2,-,2,7
"합계","노원구",2023,198,170,10,18,16,6,615,463000,156155,306845,32673276,15,11,4,-,-,-,-,-,15,11,4,-,14,5
"합계","노원구",2024,172,145,10,17,15,12,907,1037023,332535,704488,33012618,13,9,4,-,1,1,-,-,12,8,4,-,23,6
"합계","은평구",2020,192,169,6,17,31,1,5914,504788,270762,234026,1315260,-,-,-,-,2,-,-,-,6,-,-,-,4,8
"합계","은평구",2021,160,145,2,13,18,11,882,875722,340436,535286,1550627,-,-,-,-,3,-,-,-,8,-,-,-,32,32
"합계","은평구",2022,217,195,3,19,15,6,3375,609785,191089,418696,1358389,17,10,7,-,1,-,1,-,16,10,6,-,12,8
"합계","은평구",2023,248,224,6,18,22,3,383,273087,140798,132289,12267584,7,6,1,-,-,-,-,-,7,6,1,-,8,13
"합계","은평구",2024,191,172,1,18,35,4,651,782819,457854,324965,17028396,11,6,5,-,3,2,1,-,8,4,4,-,8,22
"합계","서대문구",2020,220,194,3,23,15,2,783,928985,507160,421825,20493336,-,-,-,-,3,-,-,-,4,-,-,-,4,17
"합계","서대문구",2021,262,236,6,20,4,8,354,249728,122287,127441,14203941,-,-,-,-,-,-,-,-,7,-,-,-,11,4
"합계","서대문구",2022,223,196,6,21,8,4,946,496822,248014,248808,12367012,9,4,5,-,2,1,1,-,7,3,4,-,10,8
"합계","서대문구",2023,209,189,1,19,-,20,906,748336,501586,246750,2341423898,12,8,4,-,-,-,-,-,12,8,4,-,33,15
"합계","서대문구",2024,178,165,1,12,1,8,262,201441,93037,108404,410881179,12,4,8,-,1,-,1,-,11,4,7,-,17,13
"합계","마포구",2020,240,213,6,21,15,4,2194,2069049,1349817,719232,11887806,-,-,-,-,3,-,-,-,29,-,-,-,9,19
"합계","마포구",2021,242,212,5,25,15,4,556,591687,229022,362665,4559973,-,-,-,-,2,-,-,-,7,-,-,-,8,16
"합계","마포구",2022,250,237,-,13,34,19,964,638235,273997,364238,2278763,15,6,9,-,1,1,-,-,14,5,9,-,54,4
