"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차,화학차,화학차,화학차,화학차,배연차,구조공작차,산악구조차,생활안전차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,홍보차,안전진단차,순찰차,화재조사차,굴삭기,장비운반차,견인차,미분무가스소방차,기타(이동체험 이동정비),유조차,행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,68m,55m,53m,52m,50m,46m,40m,33m,32m,소계,69m,46m,45m,41m,33m,27m,18.5m,22m,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계
"남부소방서","2021",46,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,1,4,1,2,1,-,1,-,-,-,-,1,1,9,-,8,1,6,9,9,-,1,-,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,3,-,-,-
"남부소방서","2022",48,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,1,4,1,2,1,-,1,-,-,-,-,1,1,9,-,8,1,6,11,11,-,1,-,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,3,-,-,-
"남부소방서","2023",45,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,1,3,1,2,-,-,1,-,-,-,-,1,1,9,-,8,1,5,10,10,-,1,-,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,3,-,-,-
"남부소방서","2024",58,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,1,3,1,2,-,-,1,-,-,-,-,1,1,9,-,8,1,5,9,9,-,1,14,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,3,-,-,-
"동부소방서","2020",32,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,1,1,3,-,-,1,1,4,-,4,-,2,4,4,-,1,-,-,1,1,1,-,2,-,-,-,-,3,-,-,-,-,-,-,-,2,-,-,-
"동부소방서","2021",27,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,1,-,-,-,-,1,1,4,-,4,-,2,4,4,-,1,-,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-,1,-,-,2,-,-,-
"동부소방서","2022",27,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,1,-,-,-,-,1,1,4,-,4,-,2,4,4,-,1,-,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-,1,-,-,2,-,-,-
"동부소방서","2023",27,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,1,-,-,-,-,1,1,4,-,4,-,2,4,4,-,1,-,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-,1,-,-,2,-,-,-
"동부소방서","2024",35,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,1,-,-,-,-,1,1,4,-,4,-,2,5,5,-,1,6,-,-,-,1,-,-,-,-,-,-,5,-,-,1,-,1,-,-,2,-,-,-
"북부소방서","2020",42,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,2,-,1,2,4,-,-,1,1,9,-,7,2,3,6,6,-,1,-,-,1,1,1,-,2,-,-,-,-,3,-,-,-,-,-,-,-,2,-,-,-
"북부소방서","2021",35,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,2,-,1,-,-,-,-,1,1,9,-,7,2,3,6,6,-,1,-,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-,1,-,-,2,-,-,-
"북부소방서","2022",35,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,2,-,1,-,-,-,-,1,1,9,-,7,2,3,6,6,-,1,-,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-,1,-,-,2,-,-,-
"북부소방서","2023",36,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,2,-,1,-,-,-,-,1,1,9,-,7,2,4,6,6,-,1,-,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-,1,-,-,2,-,-,-
"북부소방서","2024",45,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,1,-,-,1,-,1,-,-,-,-,1,1,9,-,7,2,4,6,6,-,1,8,-,-,-,1,-,-,-,-,-,-,4,-,-,1,-,1,-,-,3,-,-,-
"남울주소방서","2020",51,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,1,3,1,1,1,-,1,1,4,-,-,1,1,9,-,8,1,3,8,8,-,1,-,-,1,1,1,-,3,-,-,-,-,3,1,-,-,-,-,-,-,6,-,-,-
"남울주소방서","2021",41,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,3,1,1,1,-,1,-,-,-,-,1,1,7,-,6,1,3,7,7,-,1,-,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,6,-,-,-
"남울주소방서","2022",41,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,3,1,1,1,-,1,-,-,-,-,1,1,7,-,6,1,3,7,7,-,1,-,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,6,-,-,-
"남울주소방서","2023",41,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,3,1,1,1,-,1,-,-,-,-,1,1,7,-,6,1,3,8,8,-,1,-,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,5,-,-,-
"남울주소방서","2024",47,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,3,1,1,1,-,1,-,-,-,-,1,1,7,-,6,1,3,7,7,-,1,9,-,-,-,1,-,-,-,-,-,-,4,1,-,1,-,1,-,-,3,-,-,-
"서울주소방서","2021",30,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,1,9,-,7,2,1,5,5,-,1,-,-,-,-,1,-,-,-,-,-,-,2,-,-,1,1,2,-,-,2,-,-,-
"서울주소방서","2022",31,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,1,9,-,7,2,1,6,6,-,1,-,-,-,-,1,-,-,-,-,-,-,2,-,-,1,1,2,-,-,2,-,-,-
"서울주소방서","2023",30,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,1,9,-,7,2,1,6,6,-,1,-,-,-,-,1,-,-,-,-,-,-,2,-,-,1,-,2,-,-,2,-,-,-
"서울주소방서","2024",40,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,1,9,-,7,2,2,6,6,-,1,8,-,-,-,2,-,-,-,-,-,-,2,-,-,1,-,2,-,-,2,-,-,-
"울산안전체험관","2024",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
