단지명,법정동,계약날짜,거래금액,평당가격,전용면적,층,층구간,건축년도,건물연령
삼환(101동),청담동,2026-06-23,2150000000,83735509.0,84.88,1,저층,1999,27
신현대9차,압구정동,2026-06-16,6625000000,196632474.4,111.38,11,중층,1982,44
이산,논현동,2026-06-20,700000000,36027712.9,64.23,5,저층,2011,15
풍림(1차),삼성동,2026-06-22,2850000000,111129157.8,84.78,3,저층,1998,28
"현대5차(71,72동)",압구정동,2026-06-03,5500000000,221110300.4,82.23,4,저층,1977,49
풍림아이원2차202동,대치동,2026-06-23,2550000000,53964470.9,156.21,7,중층,2003,23
개포자이프레지던스,개포동,2026-06-06,3480000000,135986798.7,84.5978,2,저층,2023,3
도곡렉슬,도곡동,2026-06-06,4130000000,113878435.8,119.8906,5,저층,2006,20
압구정대원칸타빌아파트,신사동,2026-06-22,1650000000,91320442.0,59.73,8,중층,2001,25
삼성동대성유니드,삼성동,2026-06-11,1680000000,66171142.6,83.93,5,저층,2004,22
대림역삼,역삼동,2026-06-15,2300000000,89493173.3,84.96,7,중층,1997,29
도곡스타클래스,도곡동,2026-06-22,1770000000,52534261.1,111.38,12,중층,2007,19
경남아너스빌,역삼동,2026-06-01,1810000000,70653433.8,84.688,15,고층,2002,24
대우로얄카운티2,청담동,2026-06-15,4730000000,64816920.9,241.24,4,저층,2002,24
삼성동한솔아파트,삼성동,2026-06-13,2130000000,120221171.2,58.57,14,중층,1998,28
도곡렉슬,도곡동,2026-06-11,4150000000,114429905.3,119.8906,5,저층,2006,20
삼성동센트럴아이파크,삼성동,2026-06-04,4130000000,160641887.3,84.99,12,중층,2018,8
신현대12차,압구정동,2026-06-10,5990000000,176722373.9,112.05,1,저층,1982,44
대우아이빌멤버스(891-26),대치동,2026-06-15,250000000,23087775.2,35.796,10,중층,2003,23
신현대12차,압구정동,2026-06-20,6000000000,177017402.9,112.05,1,저층,1982,44
강남데시앙파크,세곡동,2026-06-20,1510000000,58761130.1,84.95,6,중층,2011,15
개포주공6단지,개포동,2026-06-20,3200000000,175928155.7,60.13,9,중층,1983,43
아이파크,삼성동,2026-06-09,9770000000,165300151.5,195.388,5,저층,2004,22
대우아이빌명문가(891-23),대치동,2026-06-09,260000000,25998427.1,33.06,10,중층,2004,22
은마,대치동,2026-06-20,3450000000,148522073.2,76.79,13,중층,1979,47
까치마을,수서동,2026-06-19,2015000000,134569434.3,49.5,14,중층,1993,33
도곡스타클래스,도곡동,2026-06-19,1900000000,55707494.5,112.75,16,고층,2007,19
강남자곡 힐스테이트,자곡동,2026-06-19,1394000000,88689091.6,51.96,5,저층,2015,11
청담자이,청담동,2026-06-18,5050000000,187334231.0,89.115,34,고층,2011,15
강남데시앙파크,세곡동,2026-06-19,1520000000,59136354.0,84.97,9,중층,2011,15
신동아(22),논현동,2026-06-19,1350000000,124904282.1,35.73,4,저층,1997,29
강남브리즈힐(토지임대부아파트),자곡동,2026-06-18,1250000000,55811048.1,74.04,14,중층,2014,12
한양3,압구정동,2026-06-08,6000000000,169615187.3,116.94,10,중층,1978,48
청담자이,청담동,2026-06-08,2485000000,165493120.3,49.639,3,저층,2011,15
현대8차(성수현대:91~95동),압구정동,2026-06-17,7000000000,141385715.2,163.67,6,중층,1980,46
도곡렉슬,도곡동,2026-06-03,3400000000,132234489.1,84.9984,2,저층,2006,20
디에이치아너힐즈,개포동,2026-06-06,3480000000,136374977.8,84.357,16,고층,2019,7
타워팰리스1,도곡동,2026-06-05,4430000000,106708641.8,137.24,10,중층,2002,24
래미안블레스티지,개포동,2026-06-13,3920000000,129630137.9,99.967,23,고층,2019,7
래미안대치팰리스,대치동,2026-06-16,4450000000,160091522.5,91.89,20,고층,2015,11
BRUNNEN청담,청담동,2026-06-12,5200000000,84768282.5,202.79,3,저층,2019,7
한신(개포),도곡동,2026-06-17,3640000000,143490484.1,83.86,8,중층,1985,41
도곡렉슬,도곡동,2026-06-04,3915000000,112547683.3,114.9931,2,저층,2006,20
