지역,연도,범죄발생수
대구,2019,75707
대구,2020,72171
대구,2021,67795
대구,2022,66441
대전,2019,45047
대전,2020,44426
대전,2021,39711
대전,2022,43200
부산,2019,119267
부산,2020,120095
부산,2021,105737
부산,2022,112080
서울,2019,305909
서울,2020,290816
서울,2021,252289
서울,2022,267778
세종,2019,6095
세종,2020,6251
세종,2021,5921
세종,2022,6525
울산,2019,34128
울산,2020,31834
울산,2021,31015
울산,2022,27385
인천,2019,93347
인천,2020,91257
인천,2021,80589
인천,2022,84888
